央视,#genre#
CCTV-5+ 体育赛事,http://222.241.154.37:9901/tsfile/live/23018_1.m3u8
CCTV-1 综合,http://118.113.157.64:4022/udp/239.93.0.184:5140
CCTV-2 财经,http://118.113.157.64:4022/udp/239.93.1.23:6000
CCTV-3 综艺,http://118.113.157.64:4022/udp/239.93.1.11:2223
CCTV-4 中文国际,http://118.113.157.64:4022/udp/239.93.1.105:5140
CCTV1-综合,http://122.141.60.245:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://122.141.60.245:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://122.141.60.245:9901/tsfile/live/0003_1.m3u8
CCTV4-国际,http://122.141.60.245:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://122.141.60.245:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://122.141.60.245:9901/tsfile/live/0006_1.m3u8
CCTV7-国防军事,http://122.141.60.245:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://122.141.60.245:9901/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://122.141.60.245:9901/tsfile/live/0009_1.m3u8
CCTV10-科教,http://122.141.60.245:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://122.141.60.245:9901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://122.141.60.245:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://122.141.60.245:9901/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://122.141.60.245:9901/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://122.141.60.245:9901/tsfile/live/0015_1.m3u8
CCTV-16 奥林匹克,http://122.141.60.245:9901/tsfile/live/1061_1.m3u8
CCTV17-农业农村,http://122.141.60.245:9901/tsfile/live/1042_1.m3u8
CCTV5+体育赛事,http://122.141.60.245:9901/tsfile/live/0016_1.m3u8
奥林匹克 4K,http://122.141.60.245:9901/tsfile/live/1053_1.m3u8
CCTV-4K,http://122.141.60.245:9901/tsfile/live/1019_1.m3u8
吉林卫视,http://122.141.60.245:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://122.141.60.245:9901/tsfile/live/0121_1.m3u8
黑龙江卫视,http://122.141.60.245:9901/tsfile/live/0143_1.m3u8
北京卫视,http://122.141.60.245:9901/tsfile/live/0122_1.m3u8
东方卫视,http://122.141.60.245:9901/tsfile/live/0107_1.m3u8
浙江卫视,http://122.141.60.245:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://122.141.60.245:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://122.141.60.245:9901/tsfile/live/0130_1.m3u8
东南卫视,http://122.141.60.245:9901/tsfile/live/0137_1.m3u8
天津卫视,http://122.141.60.245:9901/tsfile/live/0135_1.m3u8
江西卫视,http://122.141.60.245:9901/tsfile/live/0138_1.m3u8
山东卫视,http://122.141.60.245:9901/tsfile/live/0131_1.m3u8
山西卫视,http://122.141.60.245:9901/tsfile/live/0118_1.m3u8
河南卫视,http://122.141.60.245:9901/tsfile/live/0139_1.m3u8
河北卫视,http://122.141.60.245:9901/tsfile/live/0117_1.m3u8
湖北卫视,http://122.141.60.245:9901/tsfile/live/0132_1.m3u8
湖南卫视,http://122.141.60.245:9901/tsfile/live/0117_2.m3u8
广东卫视,http://122.141.60.245:9901/tsfile/live/0125_1.m3u8
广西卫视,http://122.141.60.245:9901/tsfile/live/0119_1.m3u8
深圳卫视,http://122.141.60.245:9901/tsfile/live/0126_1.m3u8
海南卫视,http://122.141.60.245:9901/tsfile/live/0114_1.m3u8
三沙卫视,http://122.141.60.245:9901/tsfile/live/0142_1.m3u8
重庆卫视,http://122.141.60.245:9901/tsfile/live/0142_2.m3u8
贵州卫视,http://122.141.60.245:9901/tsfile/live/0120_1.m3u8
四川卫视,http://122.141.60.245:9901/tsfile/live/0123_1.m3u8
云南卫视,http://122.141.60.245:9901/tsfile/live/0119_2.m3u8
西藏卫视,http://122.141.60.245:9901/tsfile/live/0111_1.m3u8
陕西卫视,http://122.141.60.245:9901/tsfile/live/0136_1.m3u8
青海卫视,http://122.141.60.245:9901/tsfile/live/0140_1.m3u8
兵团卫视,http://122.141.60.245:9901/tsfile/live/0115_1.m3u8
甘肃卫视,http://122.141.60.245:9901/tsfile/live/0141_1.m3u8
新疆卫视,http://122.141.60.245:9901/tsfile/live/0110_1.m3u8
宁夏卫视,http://122.141.60.245:9901/tsfile/live/0112_1.m3u8
内蒙古卫视,http://122.141.60.245:9901/tsfile/live/0109_1.m3u8
吉林都市,http://122.141.60.245:9901/tsfile/live/1002_1.m3u8
吉林综艺,http://122.141.60.245:9901/tsfile/live/1003_1.m3u8
吉林影视,http://122.141.60.245:9901/tsfile/live/1006_1.m3u8
吉林生活,http://122.141.60.245:9901/tsfile/live/1007_1.m3u8
吉林乡村,http://122.141.60.245:9901/tsfile/live/1008_1.m3u8
长影频道,http://122.141.60.245:9901/tsfile/live/1010_1.m3u8
吉林教育,http://122.141.60.245:9901/tsfile/live/1004_1.m3u8
延边卫视,http://122.141.60.245:9901/tsfile/live/1011_1.m3u8
松原,http://122.141.60.245:9901/tsfile/live/1012_1.m3u8
松原公共,http://122.141.60.245:9901/tsfile/live/1013_1.m3u8
CHC 动作电影,http://122.141.60.245:9901/tsfile/live/1014_1.m3u8
CHC 高清电影,http://122.141.60.245:9901/tsfile/live/1015_1.m3u8
CHC 家庭影院,http://122.141.60.245:9901/tsfile/live/1016_1.m3u8
乐游,http://122.141.60.245:9901/tsfile/live/1017_1.m3u8
法制天地,http://122.141.60.245:9901/tsfile/live/1024_1.m3u8
金色学堂,http://122.141.60.245:9901/tsfile/live/1023_1.m3u8
生活时尚,http://122.141.60.245:9901/tsfile/live/1021_1.m3u8
都市时尚,http://122.141.60.245:9901/tsfile/live/1005_1.m3u8
动漫秀场,http://122.141.60.245:9901/tsfile/live/1020_1.m3u8
游戏风云,http://122.141.60.245:9901/tsfile/live/1044_1.m3u8
快乐垂钓,http://122.141.60.245:9901/tsfile/live/1054_1.m3u8
茶频道,http://122.141.60.245:9901/tsfile/live/1056_1.m3u8
第一剧场,http://122.141.60.245:9901/tsfile/live/1025_1.m3u8
怀旧剧场,http://122.141.60.245:9901/tsfile/live/1026_1.m3u8
电视指南,http://122.141.60.245:9901/tsfile/live/1027_1.m3u8
央视文化精品,http://122.141.60.245:9901/tsfile/live/1028_1.m3u8
地理世界,http://122.141.60.245:9901/tsfile/live/1029_1.m3u8
兵器科技,http://122.141.60.245:9901/tsfile/live/1030_1.m3u8
女性时尚,http://122.141.60.245:9901/tsfile/live/1031_1.m3u8
风云音乐,http://122.141.60.245:9901/tsfile/live/1032_1.m3u8
风云足球,http://122.141.60.245:9901/tsfile/live/1033_1.m3u8
风云剧场,http://122.141.60.245:9901/tsfile/live/1034_1.m3u8
央视台球,http://122.141.60.245:9901/tsfile/live/1035_1.m3u8
百姓健康,http://122.141.60.245:9901/tsfile/live/1036_1.m3u8
高尔夫,http://122.141.60.245:9901/tsfile/live/1037_1.m3u8
中国交通,http://122.141.60.245:9901/tsfile/live/1038_1.m3u8
CETV1,http://122.141.60.245:9901/tsfile/live/1039_1.m3u8
CETV2,http://122.141.60.245:9901/tsfile/live/1009_1.m3u8
CETV4,http://122.141.60.245:9901/tsfile/live/1052_1.m3u8
上海纪实高清,http://122.141.60.245:9901/tsfile/live/1040_1.m3u8
金鹰纪实高清,http://122.141.60.245:9901/tsfile/live/1041_1.m3u8
BTV高清,http://122.141.60.245:9901/tsfile/live/1000_1.m3u8
卡酷动画,http://122.141.60.245:9901/tsfile/live/1043_1.m3u8
哈哈炫动,http://122.141.60.245:9901/tsfile/live/1045_1.m3u8
嘉佳卡通,http://122.141.60.245:9901/tsfile/live/1046_1.m3u8
老故事,http://122.141.60.245:9901/tsfile/live/1047_1.m3u8
国学频道,http://122.141.60.245:9901/tsfile/live/1048_1.m3u8
睛彩竞技,http://122.141.60.245:9901/tsfile/live/1049_1.m3u8
睛彩篮球,http://122.141.60.245:9901/tsfile/live/1050_1.m3u8
睛彩羽毛球,http://122.141.60.245:9901/tsfile/live/1065_1.m3u8
睛彩广场舞,http://122.141.60.245:9901/tsfile/live/1059_1.m3u8
环球奇观,http://122.141.60.245:9901/tsfile/live/1018_1.m3u8
武术世界,http://122.141.60.245:9901/tsfile/live/1022_1.m3u8
梨园高清,http://122.141.60.245:9901/tsfile/live/1051_1.m3u8
文物宝库,http://122.141.60.245:9901/tsfile/live/1055_1.m3u8
汽摩频道,http://122.141.60.245:9901/tsfile/live/1001_1.m3u8
发现之旅,http://122.141.60.245:9901/tsfile/live/1057_1.m3u8
CGTN 英语高清,http://122.141.60.245:9901/tsfile/live/1058_1.m3u8
CCTV-1,http://121.17.146.54:50003/hls/1/index.m3u8
CCTV-2,http://121.17.146.54:50003/hls/2/index.m3u8
CCTV-3,http://121.17.146.54:50003/hls/3/index.m3u8
CCTV-4,http://121.17.146.54:50003/hls/4/index.m3u8
CCTV-5,http://121.17.146.54:50003/hls/5/index.m3u8
CCTV-6,http://121.17.146.54:50003/hls/6/index.m3u8
CCTV-7,http://121.17.146.54:50003/hls/7/index.m3u8
CCTV-8,http://121.17.146.54:50003/hls/8/index.m3u8
CCTV-9,http://121.17.146.54:50003/hls/9/index.m3u8
CCTV-10,http://121.17.146.54:50003/hls/10/index.m3u8
CCTV-11,http://121.17.146.54:50003/hls/11/index.m3u8
CCTV-12,http://121.17.146.54:50003/hls/12/index.m3u8
CCTV-13,http://121.17.146.54:50003/hls/13/index.m3u8
CCTV-14,http://121.17.146.54:50003/hls/14/index.m3u8
CCTV-15,http://121.17.146.54:50003/hls/15/index.m3u8
CCTV-17,http://121.17.146.54:50003/hls/17/index.m3u8
CCTV-5+,http://121.17.146.54:50003/hls/21/index.m3u8
河北卫视,http://121.17.146.54:50003/hls/22/index.m3u8
河北经济,http://121.17.146.54:50003/hls/23/index.m3u8
河北都市,http://121.17.146.54:50003/hls/24/index.m3u8
河北影视,http://121.17.146.54:50003/hls/25/index.m3u8
少儿科教,http://121.17.146.54:50003/hls/26/index.m3u8
河北公共,http://121.17.146.54:50003/hls/27/index.m3u8
河北农民,http://121.17.146.54:50003/hls/28/index.m3u8
衡水新闻,http://121.17.146.54:50003/hls/32/index.m3u8
衡水公共,http://121.17.146.54:50003/hls/33/index.m3u8
湖南卫视,http://121.17.146.54:50003/hls/35/index.m3u8
浙江卫视,http://121.17.146.54:50003/hls/36/index.m3u8
江苏卫视,http://121.17.146.54:50003/hls/37/index.m3u8
北京卫视,http://121.17.146.54:50003/hls/38/index.m3u8
上海卫视,http://121.17.146.54:50003/hls/39/index.m3u8
天津卫视,http://121.17.146.54:50003/hls/40/index.m3u8
深圳卫视,http://121.17.146.54:50003/hls/41/index.m3u8
山东卫视,http://121.17.146.54:50003/hls/42/index.m3u8
广东卫视,http://121.17.146.54:50003/hls/43/index.m3u8
黑龙江卫视,http://121.17.146.54:50003/hls/44/index.m3u8
辽宁卫视,http://121.17.146.54:50003/hls/45/index.m3u8
安徽卫视,http://121.17.146.54:50003/hls/46/index.m3u8
湖北卫视,http://121.17.146.54:50003/hls/47/index.m3u8
四川卫视,http://121.17.146.54:50003/hls/48/index.m3u8
重庆卫视,http://121.17.146.54:50003/hls/49/index.m3u8
河南卫视,http://121.17.146.54:50003/hls/50/index.m3u8
贵州卫视,http://121.17.146.54:50003/hls/51/index.m3u8
江西卫视,http://121.17.146.54:50003/hls/52/index.m3u8
东南卫视,http://121.17.146.54:50003/hls/53/index.m3u8
吉林卫视,http://121.17.146.54:50003/hls/54/index.m3u8
云南卫视,http://121.17.146.54:50003/hls/55/index.m3u8
广西卫视,http://121.17.146.54:50003/hls/56/index.m3u8
陕西卫视,http://121.17.146.54:50003/hls/57/index.m3u8
山西卫视,http://121.17.146.54:50003/hls/58/index.m3u8
内蒙古卫视,http://121.17.146.54:50003/hls/59/index.m3u8
青海卫视,http://121.17.146.54:50003/hls/60/index.m3u8
青海卫视,http://121.17.146.54:50003/hls/61/index.m3u8
宁夏卫视,http://121.17.146.54:50003/hls/62/index.m3u8
西藏卫视,http://121.17.146.54:50003/hls/63/index.m3u8
新疆卫视,http://121.17.146.54:50003/hls/64/index.m3u8
甘肃卫视,http://121.17.146.54:50003/hls/65/index.m3u8
陶瓷,http://121.17.146.54:50003/hls/66/index.m3u8
金鹰纪实,http://121.17.146.54:50003/hls/67/index.m3u8
纪实,http://121.17.146.54:50003/hls/68/index.m3u8
CETV1,http://121.17.146.54:50003/hls/69/index.m3u8
CETV2,http://121.17.146.54:50003/hls/70/index.m3u8
CETV4,http://121.17.146.54:50003/hls/71/index.m3u8
卡酷,http://121.17.146.54:50003/hls/72/index.m3u8
金鹰卡通,http://121.17.146.54:50003/hls/73/index.m3u8
山东教育,http://121.17.146.54:50003/hls/74/index.m3u8
电视指南,http://121.17.146.54:50003/hls/75/index.m3u8
第一剧场,http://121.17.146.54:50003/hls/76/index.m3u8
风云剧场,http://121.17.146.54:50003/hls/77/index.m3u8
怀旧剧场,http://121.17.146.54:50003/hls/78/index.m3u8
风云音乐,http://121.17.146.54:50003/hls/79/index.m3u8
风云足球,http://121.17.146.54:50003/hls/80/index.m3u8
高尔夫网球,http://121.17.146.54:50003/hls/81/index.m3u8
武术世界,http://121.17.146.54:50003/hls/82/index.m3u8
国防军事,http://121.17.146.54:50003/hls/83/index.m3u8
世界地理,http://121.17.146.54:50003/hls/84/index.m3u8
老故事,http://121.17.146.54:50003/hls/85/index.m3u8
环球奇观,http://121.17.146.54:50003/hls/86/index.m3u8
国学频道,http://121.17.146.54:50003/hls/87/index.m3u8
DV生活,http://121.17.146.54:50003/hls/88/index.m3u8
女性时尚,http://121.17.146.54:50003/hls/89/index.m3u8
央视文化精品,http://121.17.146.54:50003/hls/90/index.m3u8
早期教育,http://121.17.146.54:50003/hls/93/index.m3u8
梨园频道,http://121.17.146.54:50003/hls/96/index.m3u8
靓装,http://121.17.146.54:50003/hls/98/index.m3u8
彩民在线,http://121.17.146.54:50003/hls/99/index.m3u8
汽摩,http://121.17.146.54:50003/hls/100/index.m3u8
全纪实,http://121.17.146.54:50003/hls/102/index.m3u8
财富天下,http://121.17.146.54:50003/hls/103/index.m3u8
游戏风云,http://121.17.146.54:50003/hls/104/index.m3u8
欢笑剧场,http://121.17.146.54:50003/hls/105/index.m3u8
魅力音乐,http://121.17.146.54:50003/hls/106/index.m3u8
动漫秀场,http://121.17.146.54:50003/hls/107/index.m3u8
幸福彩,http://121.17.146.54:50003/hls/110/index.m3u8
极速汽车,http://121.17.146.54:50003/hls/111/index.m3u8
热播剧场,http://121.17.146.54:50003/hls/112/index.m3u8
收视指南,http://121.17.146.54:50003/hls/113/index.m3u8
经典电影,http://121.17.146.54:50003/hls/114/index.m3u8
魅力时尚,http://121.17.146.54:50003/hls/115/index.m3u8
谍战剧场,http://121.17.146.54:50003/hls/116/index.m3u8
相声小品,http://121.17.146.54:50003/hls/117/index.m3u8
少儿动画,http://121.17.146.54:50003/hls/118/index.m3u8
野外,http://121.17.146.54:50003/hls/119/index.m3u8
法制,http://121.17.146.54:50003/hls/120/index.m3u8
IPTV3+,http://121.17.146.54:50003/hls/121/index.m3u8
IPTV5+,http://121.17.146.54:50003/hls/122/index.m3u8
IPTV6+,http://121.17.146.54:50003/hls/123/index.m3u8
IPTV8+,http://121.17.146.54:50003/hls/124/index.m3u8
通用2,#genre#
CCTV-1,http://149.88.87.124:5005/TVOD/1000000001000021973/wasusyt/index.m3u8?$香港源
CCTV-2,http://149.88.87.124:5005/TVOD/6000000001000014161/wasusyt/index.m3u8?$香港源
CCTV-3,http://149.88.87.124:5005/TVOD/6000000001000022313/wasusyt/index.m3u8?$香港源
CCTV-4,http://149.88.87.124:5005/TVOD/1000000002000031664/wasusyt/index.m3u8?$香港源
CCTV-5,http://149.88.87.124:5005/TVOD/6000000001000016431/wasusyt/index.m3u8?$香港源
CCTV-5+,http://149.88.87.124:5005/TVOD/1000000001000020505/wasusyt/index.m3u8?$香港源
CCTV-6,http://149.88.87.124:5005/TVOD/6000000001000004574/wasusyt/index.m3u8?$香港源
CCTV-7,http://149.88.87.124:5005/TVOD/6000000001000009055/wasusyt/index.m3u8?$香港源
CCTV-8,http://149.88.87.124:5005/TVOD/6000000001000001070/wasusyt/index.m3u8?$香港源
CCTV-9,http://149.88.87.124:5005/TVOD/6000000001000032162/wasusyt/index.m3u8?$香港源
CCTV-10,http://149.88.87.124:5005/TVOD/5000000010000016738/wasusyt/index.m3u8?$香港源
CCTV-11,http://149.88.87.124:5005/TVOD/5000000011000031106/wasusyt/index.m3u8?$香港源
CCTV-12,http://149.88.87.124:5005/TVOD/6000000001000022586/wasusyt/index.m3u8?$香港源
CCTV-13,http://149.88.87.124:5005/TVOD/1000000002000021303/wasusyt/index.m3u8?$香港源
CCTV-14,http://149.88.87.124:5005/TVOD/6000000001000013647/wasusyt/index.m3u8?$香港源
CCTV-15,http://149.88.87.124:5005/TVOD/5000000011000031109/wasusyt/index.m3u8?$香港源
CCTV-16,http://149.88.87.124:5005/TVOD/1000000006000233001/wasusyt/index.m3u8?$香港源
CCTV-17,http://149.88.87.124:5005/TVOD/1000000005000056836/wasusyt/index.m3u8?$香港源
CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-16,http://123.182.60.29:9002/hls/31/index.m3u8
CCTV-17,http://goo.bkpcp.top/mg/cctv17
CCTV-1,http://185.238.248.198:5000/TVOD/1000000001000021973/wasusyt/index.m3u8?$香港源
CCTV-2,http://185.238.248.198:5000/TVOD/6000000001000014161/wasusyt/index.m3u8?$香港源
CCTV-3,http://185.238.248.198:5000/TVOD/6000000001000022313/wasusyt/index.m3u8?$香港源
CCTV-4,http://185.238.248.198:5000/TVOD/1000000002000031664/wasusyt/index.m3u8?$香港源
CCTV-5,http://185.238.248.198:5000/TVOD/6000000001000016431/wasusyt/index.m3u8?$香港源
CCTV-5+,http://185.238.248.198:5000/TVOD/1000000001000020505/wasusyt/index.m3u8?$香港源
CCTV-6,http://185.238.248.198:5000/TVOD/6000000001000004574/wasusyt/index.m3u8?$香港源
CCTV-7,http://185.238.248.198:5000/TVOD/6000000001000009055/wasusyt/index.m3u8?$香港源
CCTV-8,http://185.238.248.198:5000/TVOD/6000000001000001070/wasusyt/index.m3u8?$香港源
CCTV-9,http://185.238.248.198:5000/TVOD/6000000001000032162/wasusyt/index.m3u8?$香港源
CCTV-10,http://185.238.248.198:5000/TVOD/5000000010000016738/wasusyt/index.m3u8?$香港源
CCTV-11,http://185.238.248.198:5000/TVOD/5000000011000031106/wasusyt/index.m3u8?$香港源
CCTV-12,http://185.238.248.198:5000/TVOD/6000000001000022586/wasusyt/index.m3u8?$香港源
CCTV-13,http://185.238.248.198:5000/TVOD/1000000002000021303/wasusyt/index.m3u8?$香港源
CCTV-14,http://185.238.248.198:5000/TVOD/6000000001000013647/wasusyt/index.m3u8?$香港源
CCTV-15,http://185.238.248.198:5000/TVOD/5000000011000031109/wasusyt/index.m3u8?$香港源
CCTV-16,http://185.238.248.198:5000/TVOD/1000000006000233001/wasusyt/index.m3u8?$香港源
CCTV-17,http://185.238.248.198:5000/TVOD/1000000005000056836/wasusyt/index.m3u8?$香港源
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$1080P
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$1080P
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$1080P
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx$1080P
凤凰中文,http://122.117.71.103:8574/http/220.130.87.218:8078/hls/21/80/phoenixch.m3u8
凤凰资讯,http://extraott.com:80/live/6772191932/1654508883/62829.m3u8
凤凰资讯,http://50.7.250.50/auth/QRgV0WudIeQUmICR1YFu9THVIiMYVZl24hTzh585ZALhErWe764tBG8DS1Nh6kdj-TNEVEKVjjSS421WkevG1DDrQQThXtFGGh9YE9vl0m4PBmIHTumw5Tk4tfxFYXPJqCyaTN2F99S5hH3lkgWPmsgaI-NEDSBHIdZLYulAv00iIUPmAsWjFNlKYD0zEpeB7xE5_dSadFlnf6gCeUsOkCuFjOt48KOpsPn-bgViRVXd7t-XezitMMdabC49d4fPFD5mZ7wJUs77ow6XP_SIIcCNMTzTSNhhpK1npzih_W1j50Sa7NqvwujI2xvIiknIt55TgcWr-zxICmrAA8mriW7j7ujci10xijyHA3eo8saGWyWWgbsGNQRZI2LPxStSN_GOEwXzaMTEThgc1SciClF_incq7UyM5Oz272RpSRJQlJMNE93hTGME0es0J_3Y3_lsbWSWfTjqV_E4V21KHQZjahvpw6vHEYpO2HKwC796w7AAdvF6WGW90mszjmxFGg8s11BidFA4nodDCs6Tig5GKCh9K0tPFFus9cuSwQIVl-uF-UUB_ZaGRs0UTtFWm4EWGFowbZ_r2AfkY5x87-QOzFLgRjgmOc3S_NJK0gykiUB6d_ZjdPJ9F2Vp-UQm1qhfZcu2UEKqK7AwtUDyTA
凤凰中文,http://171.213.133.195:19999/udp/239.93.0.162:2192
凤凰资讯,http://171.213.133.195:19999/udp/239.93.0.118:2191
凤凰中文,http://221.232.105.149:35455/rptv/HD-10000k-1080P-fhchinese5s.m3u8?license=cntv
凤凰资讯,http://221.232.105.149:35455/rptv/HD-10000k-1080P-fhzixun5s.m3u8?license=cntv
凤凰中文,http://116.11.156.137:8811/tsfile/live/1009_1.m3u8
凤凰资讯,http://116.11.156.137:8811/tsfile/live/1001_1.m3u8
安徽卫视,http://149.88.87.124:5005/TVOD/6000000001000009954/wasusyt/index.m3u8?$香港源
北京卫视,http://149.88.87.124:5005/TVOD/6000000001000020451/wasusyt/index.m3u8?$香港源
东方卫视,http://149.88.87.124:5005/TVOD/5000000010000032246/wasusyt/index.m3u8?$香港源
东南卫视,http://149.88.87.124:5005/TVOD/5000000001000005829/wasusyt/index.m3u8?$香港源
甘肃卫视,http://149.88.87.124:5005/TVOD/5000000006000040021/wasusyt/index.m3u8?$香港源
甘肃卫视,http://149.88.87.124:5005/TVOD/5000000011000031121/wasusyt/index.m3u8?$香港源
广东卫视,http://149.88.87.124:5005/TVOD/1000000001000014176/wasusyt/index.m3u8?$香港源
广东卫视,http://149.88.87.124:5005/TVOD/1000000001000028357/wasusyt/index.m3u8?$香港源
广西卫视,http://149.88.87.124:5005/TVOD/5000000006000040014/wasusyt/index.m3u8?$香港源
广西卫视,http://149.88.87.124:5005/TVOD/5000000011000031118/wasusyt/index.m3u8?$香港源
河南卫视,http://149.88.87.124:5005/TVOD/5000000005000017925/wasusyt/index.m3u8?$香港源
河南卫视,http://149.88.87.124:5005/TVOD/5000000011000031119/wasusyt/index.m3u8?$香港源
黑龙江卫视,http://149.88.87.124:5005/TVOD/6000000001000016510/wasusyt/index.m3u8?$香港源
湖北卫视,http://149.88.87.124:5005/TVOD/6000000001000015436/wasusyt/index.m3u8?$香港源
湖南卫视,http://149.88.87.124:5005/TVOD/5000000010000030452/wasusyt/index.m3u8?$香港源
吉林卫视,http://149.88.87.124:5005/TVOD/2000000003000000049/hnbblive/index.m3u8?$香港源
江苏卫视,http://149.88.87.124:5005/TVOD/6000000001000014861/wasusyt/index.m3u8?$香港源
江西卫视,http://149.88.87.124:5005/TVOD/5000000001000032154/wasusyt/index.m3u8?$香港源
江西卫视,http://149.88.87.124:5005/TVOD/5000000004000011210/wasusyt/index.m3u8?$香港源
康巴卫视,http://149.88.87.124:5005/TVOD/5000000003000001598/wasusyt/index.m3u8?$香港源
辽宁卫视,http://149.88.87.124:5005/TVOD/5000000004000011671/wasusyt/index.m3u8?$香港源
青海卫视,http://149.88.87.124:5005/TVOD/5000000006000022124/wasusyt/index.m3u8?$香港源
青海卫视,http://149.88.87.124:5005/TVOD/5000000006000040015/wasusyt/index.m3u8?$香港源
厦门卫视,http://149.88.87.124:5005/TVOD/1000000005000266006/wasusyt/index.m3u8?$香港源
山东卫视,http://149.88.87.124:5005/TVOD/6000000001000004134/wasusyt/index.m3u8?$香港源
